               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036958,            0.078753,           0.0059428,             0.91276,             0.88721,              0.9058,              0.5885,            0.033256,            0.049889,           0.0043154,            0.006535,            0.006535,            0.006535
                  37,            0.036702,            0.077697,           0.0057507,             0.93301,             0.85027,             0.88564,             0.58179,            0.033351,            0.050492,           0.0047486,            0.006436,            0.006436,            0.006436
                  38,             0.03656,            0.077149,           0.0056162,             0.91674,              0.8186,             0.87215,             0.56383,            0.034068,            0.051201,           0.0047624,            0.006337,            0.006337,            0.006337
                  39,            0.036014,            0.079846,           0.0056753,             0.90578,             0.85969,             0.89361,              0.5795,             0.03271,            0.050701,           0.0047202,            0.006238,            0.006238,            0.006238
                  40,            0.035351,            0.075209,            0.005348,             0.92001,               0.863,              0.9061,             0.58688,            0.033638,            0.049454,           0.0043988,            0.006139,            0.006139,            0.006139
                  41,            0.035353,            0.075694,           0.0053527,             0.90896,             0.85744,             0.89669,              0.5821,            0.033618,            0.050521,           0.0046132,             0.00604,             0.00604,             0.00604
                  42,            0.035397,            0.077436,            0.005478,             0.92527,             0.84306,             0.87073,             0.51748,            0.037352,            0.054337,           0.0052531,            0.005941,            0.005941,            0.005941
                  43,            0.035113,             0.07564,           0.0052375,             0.92802,             0.84541,             0.88595,              0.5838,            0.032126,            0.051639,           0.0044546,            0.005842,            0.005842,            0.005842
                  44,            0.034622,            0.076968,           0.0050927,             0.92328,             0.83572,              0.8792,             0.56944,            0.034113,            0.052016,           0.0044408,            0.005743,            0.005743,            0.005743
                  45,            0.034139,            0.075072,           0.0050859,              0.9234,             0.84808,             0.90088,             0.59409,            0.032484,            0.050076,           0.0040381,            0.005644,            0.005644,            0.005644
                  46,            0.034513,             0.07439,           0.0050413,             0.89741,             0.82413,             0.87797,             0.57695,             0.03338,            0.052074,            0.004915,            0.005545,            0.005545,            0.005545
                  47,             0.03441,            0.075457,           0.0051396,             0.90043,              0.8337,             0.88432,             0.57171,            0.032985,            0.050691,           0.0045438,            0.005446,            0.005446,            0.005446
                  48,            0.033814,            0.076034,           0.0049902,             0.90627,             0.84951,             0.89382,             0.59211,            0.032698,             0.04976,           0.0043695,            0.005347,            0.005347,            0.005347
                  49,             0.03351,            0.073138,           0.0050863,             0.91119,             0.86726,             0.90977,             0.62361,            0.031587,            0.049283,             0.00388,            0.005248,            0.005248,            0.005248
                  50,            0.033755,            0.073633,           0.0048798,             0.89974,             0.85445,               0.891,             0.59509,            0.032274,            0.050888,           0.0044146,            0.005149,            0.005149,            0.005149
                  51,            0.033787,            0.072792,           0.0047951,             0.90911,             0.86304,             0.89718,              0.6051,            0.031795,            0.049928,            0.004415,             0.00505,             0.00505,             0.00505
                  52,            0.033327,            0.075335,           0.0048609,             0.91189,             0.83905,             0.88519,             0.57771,            0.032321,            0.050779,           0.0045664,            0.004951,            0.004951,            0.004951
                  53,            0.033307,            0.073598,           0.0049327,             0.92694,             0.84825,             0.89224,             0.60294,            0.032352,            0.049821,           0.0042846,            0.004852,            0.004852,            0.004852
                  54,            0.033022,            0.074501,           0.0050233,             0.87849,             0.77166,             0.81266,              0.5128,            0.035327,            0.056871,           0.0062079,            0.004753,            0.004753,            0.004753
                  55,             0.03237,            0.070396,           0.0046051,             0.93023,             0.82112,             0.88484,             0.58212,            0.031761,            0.050875,           0.0044827,            0.004654,            0.004654,            0.004654
                  56,            0.032155,            0.072537,           0.0045164,             0.92319,             0.84374,             0.89795,             0.58879,            0.032055,            0.050524,           0.0042458,            0.004555,            0.004555,            0.004555
                  57,            0.031907,            0.072738,           0.0046245,             0.90271,             0.81818,             0.87168,             0.57172,            0.033366,            0.052432,           0.0044799,            0.004456,            0.004456,            0.004456
                  58,            0.032453,            0.072415,           0.0047937,             0.88273,             0.77012,             0.82203,             0.54117,            0.033401,             0.05417,            0.005229,            0.004357,            0.004357,            0.004357
                  59,            0.032421,            0.073886,           0.0046666,             0.91448,             0.82706,             0.87735,             0.58702,            0.031898,            0.051571,           0.0043232,            0.004258,            0.004258,            0.004258
                  60,             0.03135,            0.068785,           0.0044366,             0.91289,             0.84825,             0.89075,             0.59393,            0.032104,            0.051691,           0.0039725,            0.004159,            0.004159,            0.004159
                  61,            0.031659,            0.070941,            0.004514,             0.88312,              0.8333,             0.87676,             0.57286,            0.034062,            0.052967,           0.0045805,             0.00406,             0.00406,             0.00406
                  62,            0.031628,            0.070537,           0.0044651,             0.87158,             0.83613,             0.87455,              0.5823,            0.031603,            0.051952,           0.0042968,            0.003961,            0.003961,            0.003961
                  63,             0.03061,            0.068589,           0.0043026,             0.91209,             0.87868,             0.91146,             0.60379,            0.031275,            0.049947,           0.0034777,            0.003862,            0.003862,            0.003862
                  64,            0.031198,            0.069402,            0.004427,             0.92062,             0.83909,             0.89746,             0.60028,            0.031361,            0.050801,           0.0038333,            0.003763,            0.003763,            0.003763
                  65,            0.030708,              0.0696,           0.0044492,             0.92151,             0.83665,             0.89766,             0.60356,             0.03126,            0.051069,           0.0040392,            0.003664,            0.003664,            0.003664
                  66,             0.03051,             0.06968,           0.0042008,             0.90065,             0.86672,             0.90498,             0.62288,            0.030603,             0.04977,            0.004123,            0.003565,            0.003565,            0.003565
                  67,            0.030602,            0.070787,           0.0043787,              0.9071,             0.84289,             0.89762,             0.60277,            0.031549,            0.050472,           0.0041451,            0.003466,            0.003466,            0.003466
                  68,            0.030916,            0.071346,           0.0042831,             0.89289,             0.82469,             0.88054,             0.59237,            0.030975,            0.051317,           0.0039912,            0.003367,            0.003367,            0.003367
                  69,            0.030431,             0.06993,           0.0040989,             0.88771,             0.86753,             0.90112,             0.62281,            0.030132,            0.049621,           0.0037559,            0.003268,            0.003268,            0.003268
                  70,            0.030583,            0.068306,           0.0041848,             0.91056,             0.81461,             0.87325,             0.58758,            0.031742,             0.05368,           0.0044687,            0.003169,            0.003169,            0.003169
                  71,            0.030636,             0.06937,           0.0042641,             0.93884,             0.81031,             0.87512,             0.60065,            0.031138,            0.052136,           0.0041704,             0.00307,             0.00307,             0.00307
                  72,            0.029655,            0.067467,           0.0041566,             0.90665,              0.8035,             0.86012,             0.57011,            0.032535,            0.053605,            0.004813,            0.002971,            0.002971,            0.002971
                  73,            0.030409,            0.067753,           0.0042532,             0.91219,             0.84292,             0.89011,             0.61753,            0.030728,            0.051491,           0.0040357,            0.002872,            0.002872,            0.002872
